"ID","StudentID","Date","MealID","MessID","IsManualAttendance","ManualAttendanceLogID","CreatedTime"
"576026","5266","2025-01-30 19:11:12","3","30","0","0","2025-01-30 21:09:40"
"576025","4614","2025-01-30 19:11:04","3","30","0","0","2025-01-30 21:09:39"
"576024","4647","2025-01-30 19:10:46","3","30","0","0","2025-01-30 21:09:38"
"576023","4459","2025-01-30 19:10:39","3","30","0","0","2025-01-30 21:09:38"
"576022","5113","2025-01-30 19:10:27","3","30","0","0","2025-01-30 21:09:37"
"576021","4509","2025-01-30 19:10:08","3","30","0","0","2025-01-30 21:09:35"
"576020","5175","2025-01-30 19:10:02","3","30","0","0","2025-01-30 21:09:35"
"576019","4754","2025-01-30 19:09:55","3","30","0","0","2025-01-30 21:09:34"
"576018","4752","2025-01-30 19:09:50","3","30","0","0","2025-01-30 21:09:33"
"576017","4809","2025-01-30 19:09:45","3","30","0","0","2025-01-30 21:09:32"
"576016","4584","2025-01-30 19:09:40","3","30","0","0","2025-01-30 21:09:31"
"576015","4917","2025-01-30 19:09:30","3","30","0","0","2025-01-30 21:09:31"
"576014","4743","2025-01-30 19:09:23","3","30","0","0","2025-01-30 21:09:30"
"576013","4640","2025-01-30 19:09:18","3","30","0","0","2025-01-30 21:09:29"
"576012","4638","2025-01-30 19:09:13","3","30","0","0","2025-01-30 21:09:28"
"576011","4631","2025-01-30 19:09:10","3","30","0","0","2025-01-30 21:09:28"
"576010","4642","2025-01-30 19:09:06","3","30","0","0","2025-01-30 21:09:27"
"576009","4675","2025-01-30 19:09:03","3","30","0","0","2025-01-30 21:09:26"
"576008","4691","2025-01-30 19:08:54","3","30","0","0","2025-01-30 21:09:25"
"576007","4672","2025-01-30 19:08:48","3","30","0","0","2025-01-30 21:09:25"
"576006","4639","2025-01-30 19:08:44","3","30","0","0","2025-01-30 21:09:24"
"576005","4665","2025-01-30 19:08:37","3","30","0","0","2025-01-30 21:09:23"
"576004","4553","2025-01-30 19:08:28","3","30","0","0","2025-01-30 21:09:22"
"576003","4592","2025-01-30 19:08:22","3","30","0","0","2025-01-30 21:09:21"
"576002","4662","2025-01-30 19:08:16","3","30","0","0","2025-01-30 21:09:21"
"576001","4661","2025-01-30 19:08:11","3","30","0","0","2025-01-30 21:09:20"
"576000","4634","2025-01-30 19:08:03","3","30","0","0","2025-01-30 21:09:19"
"575999","5019","2025-01-30 19:07:57","3","30","0","0","2025-01-30 21:09:19"
"575998","5048","2025-01-30 19:07:50","3","30","0","0","2025-01-30 21:09:18"
"575997","5031","2025-01-30 19:07:46","3","30","0","0","2025-01-30 21:09:17"
"575996","4832","2025-01-30 19:07:42","3","30","0","0","2025-01-30 21:09:16"
